nct_id,title,status,phase,study_type,start_date,completion_date,conditions,interventions
NCT00555503,Registry of Mastectomy for Breast Cancer Risk Reduction,COMPLETED,,OBSERVATIONAL,2007-11,2014-01,Quality of Life | Mastectomy | Breast Neoplasms | Genetic Predisposition to Disease | Adjustment Disorder,
NCT01102569,Pancreatic Cancer Genetics,RECRUITING,,OBSERVATIONAL,2008-01,2027-12,Pancreatic Cancer,
NCT04584255,Niraparib + Dostarlimab In BRCA Mutated Breast Cancer,ACTIVE_NOT_RECRUITING,PHASE2,INTERVENTIONAL,2020-12-18,2029-07-17,Stage I Breast Cancer | Stage II Breast Cancer | Stage III Breast Cancer | Breast Cancer | HER2-negative Breast Cancer | Germline BRCA1 Gene Mutation | Germline BRCA2 Gene Mutation | Deleterious PALB2 Gene Mutation,Niraparib | Dostarlimab
NCT03475979,Abbreviated Breast MRI for Second Breast Cancer Detection in Women With BRCA Mutation Testing,UNKNOWN,,OBSERVATIONAL,2018-05-01,2022-06,Breast Cancer | BRCA1 Mutation | BRCA2 Mutation | Recurrent Breast Cancer | Metachronous Neoplasm,
NCT02365805,Randomized CT to Evaluate Efficacy of Neoadjuvant Chemotherapy Customized by Levels of BRCA1-HER2 Negative Breast Cancer,COMPLETED,PHASE2,INTERVENTIONAL,2014-04,2016-10-10,Breast Cancer,Epirubicin + Ciclofosfamide + Fluorouracil + Paclitaxel | Epirubicin + Cisplatin + Fluorouracil | Docetaxel + Ciclofosfamide
NCT04296370,A Study of Fluzoparib±Apatinib Versus Chemotherapy Treatment of Physician's Choice in HER2-negative Metastatic Breast Cancer Patients With Germline BRCA Mutation,UNKNOWN,PHASE3,INTERVENTIONAL,2020-07-13,2025-06-30,Treatment in HER2-negative Metastatic Breast Cancer Patients With Germline BRCA Mutation,Fluzoparib; Apatinib | Fluzoparib | Physician's choice chemotherapy
NCT03495609,Use of Recombinant hCG to Prevent Breast Cancer in BRCA1 and BRCA2 Carriers,COMPLETED,PHASE4,INTERVENTIONAL,2016-02-17,2018-12-18,hCG | BRCA1 Mutation | BRCA2 Mutation,Ovitrelle
NCT04150042,SHARON: A Clinical Trial for Metastatic Cancer Using Chemotherapy and Patients' Own Stem Cells,RECRUITING,PHASE1,INTERVENTIONAL,2021-01-13,2028-12,"Pancreatic Adenocarcinoma Metastatic | BRCA1 Mutation | BRCA2 Mutation | Pancreatic Acinar Cell Carcinoma | Pancreatic Ductal Adenocarcinoma | Pancreatic Cancer | Metastatic Pancreatic Cancer | Metastatic Pancreatic Ductal Adenocarcinoma | Breast Cancer Metastatic | Breast Cancer Stage IV | Pancreatic Cancer Stage IV | HER2-negative Breast Cancer | HER2 Negative Breast Carcinoma | Adenocarcinoma of the Breast | PALB2 Gene Mutation | Pancreas Cancer, Metastatic | Pancreas Cancer, Recurrent | Pancreas Cancer | Stage IV Pancreatic Cancer | Stage 4 Pancreatic Cancer",Melphalan | BCNU | Vitamin B12B | Vitamin C | Autologous Hematopoietic Stem Cells
NCT00823654,Serum Biomarkers to Characterize the Effects of Therapy on Ovarian Reserve in Premenopausal Women With Early-stage Breast Cancer or BRCA Mutations,RECRUITING,,OBSERVATIONAL,2009-01,2027-01,Breast Cancer,Blood draw and questionnaires | Blood draw and questionnaires
NCT05763472,Breast Cancer After Ovarian Cancer During and/or After Therapy: Genomic Evaluation,UNKNOWN,,OBSERVATIONAL,2022-03-01,2023-06-01,BRCA-Associated Breast Carcinoma,Next-generation sequencing (NGS) assay TruSight Oncology 500 (TSO 500).
NCT02418624,Phase I of Carboplatin-Olaparib Followed by Olaparib Monotherapy in Advanced Cancer,COMPLETED,PHASE1,INTERVENTIONAL,2015-05,2019-01,Breast Cancer | Ovarian Cancer | Advanced Cancer,"carboplatin, olaparib"
NCT05409222,Study of Quality of Life Post Salpingo-oophorectomy in BRCA1/2 & PALB2 Mutation Carriers (BRCA-HRT),UNKNOWN,,OBSERVATIONAL,2020-03-12,2023-10,Hereditary Breast and Ovarian Cancer,
NCT01506609,Study Evaluating Efficacy And Tolerability Of Veliparib in Combination With Temozolomide (TMZ) or In Combination With Carboplatin and Paclitaxel Versus Placebo in Participants With Breast Cancer Gene (BRCA)1 and BRCA2 Mutation and Metastatic Breast Cancer,COMPLETED,PHASE2,INTERVENTIONAL,2012-01-23,2020-09-02,Metastatic Breast Cancer,Placebo | Veliparib | Carboplatin | Temozolomide | Paclitaxel
NCT00897455,Studying Breast Cancer Risk in Women Who Are BRCA1/BRCA2 Mutation Carriers,UNKNOWN,,OBSERVATIONAL,2008-04,,brca1 Mutation Carrier | brca2 Mutation Carrier | Breast Cancer,DNA analysis | mutation analysis | polymorphism analysis | laboratory biomarker analysis | evaluation of cancer risk factors
NCT04474834,"Genetic Risk Estimations for Influencing Decision Making in Women at High Risk of Breast Cancer, GENRE 2 Study",ACTIVE_NOT_RECRUITING,,OBSERVATIONAL,2019-10-17,2029-12-15,Breast Cancer,Polygenic Risk Score
NCT06792721,MEASUREMENT OF CIRCULATING MUTATION BURDEN,RECRUITING,,OBSERVATIONAL,2025-07-04,2027-12-30,Breast Carcinoma | Genetic Predisposition to Cancer | BRCA Mutation | cfMB | Mutation Burden,Mutation Burden cfMB analysis
NCT05485766,Novel Neoadjuvant and Adjuvant Strategy for Germline BRCA 1/2 Mutated Triple Negative Breast Cancer,RECRUITING,PHASE2,INTERVENTIONAL,2024-07-16,2028-09-30,Triple Negative Breast Neoplasms | Triple Negative Breast Cancer | Breast Neoplasms | Breast Cancer | BRCA1 Mutation | BRCA2 Mutation | BRCA Mutation | BRCA-Associated Breast Carcinoma,Pembrolizumab | Paclitaxel | Carboplatin | Olaparib | Definitive Surgery
NCT02985658,Expanded Access With ABT-888 (Veliparib) to Treat Metastatic Breast Cancer,NO_LONGER_AVAILABLE,,EXPANDED_ACCESS,,,Metastatic Breast Cancer With BRCA 1 or BRCA 2 Genetic Mutation | Triple-Negative Breast Cancer,Veliparib | Cisplatin | Vinorelbine
NCT07381985,Strategy for Management of Patients With Hereditary Cancer Syndromes (HCS) in a Rural Environment,ENROLLING_BY_INVITATION,NA,INTERVENTIONAL,2023-12-29,2027-12-01,Hereditary Cancer Syndromes | BRCA1 Hereditary Breast and Ovarian Cancer Syndrome | Lynch Syndrome,Longitudinal Cancer Genetics Follow-Up Program
NCT01905592,"A Phase III Trial of Niraparib Versus Physician's Choice in HER2 Negative, Germline BRCA Mutation-positive Breast Cancer Patients",TERMINATED,PHASE3,INTERVENTIONAL,2014-02-25,2021-10-26,"Neoplasms, Breast | Carcinoma of Breast | Human Epidermal Growth Factor 2 Negative Carcinoma of Breast | BRCA1 Gene Mutation | BRCA2 Gene Mutation | Ovarian Neoplasms",niraparib | Physician's choice
