,GENE_1,GENE_2,GENE_3,GENE_4,GENE_5,GENE_6,GENE_7,GENE_8,GENE_9,GENE_10,GENE_11,GENE_12,GENE_13,GENE_14,GENE_15,GENE_16,GENE_17,GENE_18,GENE_19,GENE_20,GENE_21,GENE_22,GENE_23,GENE_24,GENE_25,GENE_26,GENE_27,GENE_28,GENE_29,GENE_30,MT1A
SAMPLE_01,5.314077223869799,4.754238499987099,5.95205365313989,2.7482227093809533,4.173294953083105,4.217583666038554,2.679643987613855,4.036361555631196,4.084843884154074,4.79889534548117,6.112965891660264,4.754939348809297,3.969186279728846,4.943045458786471,6.04917362144135,4.024041183885095,4.0894251160785515,5.558548959274224,4.7784638842691995,5.647484690709474,4.9863532082047035,5.701663648089567,3.964921885959359,4.9879153492117325,4.7893099856368435,3.784109075895869,3.436522052131312,5.685749035274662,4.649047617782022,3.9777197183526702,8.065165093449968
SAMPLE_02,4.903821063076668,6.128018857349303,2.719262154628077,3.5033613100966736,4.077113558104733,6.461178866720329,5.282586982919296,5.767317240461227,3.8598390808737695,3.8804641247294738,5.4478137167227105,5.058274330935447,5.548738818864127,4.812329009071548,5.278143726454627,5.158119084905109,5.777767389084925,5.807008281944471,3.3801280056082303,2.7527314446591444,6.001745397651507,6.187725093261936,3.9793769804866628,3.1401645934543714,5.0990348210072005,5.930838226350529,6.797594522434315,5.516297572101451,4.628283303414305,4.106869378415137,8.049725881563148
SAMPLE_03,5.011451291670655,4.700735296114743,3.984932094271184,7.048755650863287,6.785168402072131,6.136048683555428,4.079149602190872,5.855019324297279,5.639626409497902,5.442545624204053,6.249665267043778,5.635371142861278,5.740014236304336,5.63690628337221,5.340791408002106,3.2163888702858165,5.083621077410557,4.4438080411508745,3.7201590423599793,6.6818166193008235,6.728995340885703,6.359220600295612,5.255213416855875,6.350625120952657,5.012053180601826,5.20279727689778,3.906528629538017,5.39699130449884,5.0603859284244175,3.6973478831655355,8.36852896706634
SAMPLE_04,4.948802888183403,4.920270436143191,6.79756116664464,5.894213328513409,5.0114454390914664,5.248787309801083,5.044212378104198,4.797086015204452,3.917572802611713,4.848948122393071,4.253901743347487,3.7496844610768534,5.511221814547534,5.391264659933235,3.213292488631922,4.877315362504873,5.995701385899924,6.059223738896321,6.025836842885239,5.0389132069014595,4.154954672030849,3.9163011726419397,5.344604904750358,5.379280034365163,6.287331111605066,6.099979650342084,4.867771343468828,3.7557941211391306,4.680893402989102,5.217231194810525,8.12606662068613
SAMPLE_05,4.797916754610596,4.422105891922344,5.252884814969899,4.496042258589389,4.371933916274626,5.31145283430344,4.598007419870795,5.244104388978352,5.273204022852123,3.8605709989084254,4.518758876134588,6.437776939916462,3.8379204872657127,2.883345551029469,3.1381548467574882,5.0291099465766695,5.030917278032699,4.882389144574879,6.214189828928502,2.327165566897062,5.395933874430824,6.561438201803574,3.872219235108286,4.620193488210105,4.247108082771379,4.105653953922471,4.67373799497696,6.427485283684504,6.8373866754875205,4.664060774959852,7.752384138268303
SAMPLE_06,6.90506021406447,5.035576476984625,6.753691026701081,4.906701350346508,5.131057826046145,5.365474472642835,8.178853679367535,5.851285574844789,4.2927354700485365,5.968997870275858,4.638167462915659,4.510249817098791,5.908601359892112,5.031085587771153,5.278575914511806,5.013985221865292,5.336583126605435,5.424965897436149,3.063033067294585,5.6665726686095335,4.0179805801696995,3.557700864440589,4.941588756141318,5.083981003314454,4.30649383542772,5.831031857667974,3.657824833629093,4.593056251227441,4.415125865066999,4.953412729660661,6.417876251421619
SAMPLE_07,5.278864284647239,3.9921070503764553,5.7242826774562285,5.0630023683347,3.1080537466880895,3.041408559602969,4.987680707070688,4.7790326822136455,4.896579886425367,4.972017543469782,5.225559839510181,5.9476496098483,3.8888950990824416,3.828028407099205,3.9066761421126177,5.2889166671687065,6.244947378646446,4.568660561760489,2.4983001558403455,3.2960071373896245,4.166963277203989,4.442271112504785,4.591611372745273,5.038581122980917,4.688253669177553,6.049339610543408,4.323982694318631,4.1376820405244565,5.4788755385204615,3.4643579300738807,6.552267667992378
SAMPLE_08,5.389691705320002,5.1025531837262665,4.852557510081833,6.588276107149262,4.377792554705282,7.060298170524078,4.7745685507719005,3.7229835550297716,5.069919580994825,3.923754799681232,4.2482441521864995,5.397033300015491,5.555582088650125,4.377832299745742,5.9874051450464005,6.157507758021134,6.4363017565632905,5.529413407125722,6.363428712085699,3.1192015720259425,4.6820934513715375,4.132994743676574,5.119225861127392,4.4285507808032625,4.833842158050268,6.882174880204049,4.830280203579622,5.413792317190214,4.767730670075765,5.075713287956834,6.429750315033718
SAMPLE_09,5.006016680436072,5.44832406597316,6.165307535547177,6.647393997603329,5.309620081909167,5.589546886035603,3.849135490814433,4.91212325758438,5.940289464883589,5.865968638417153,5.211609732795051,5.886393959567952,5.490766708993819,6.200306258259322,5.2893591569571115,4.6443016844289655,5.335841256933024,2.0694056241472243,5.38288573638505,1.3515871747852164,3.276536592594582,5.4517686009409845,5.4775293372667955,3.8375712198600693,4.287897958121061,6.370540988614132,4.515969868427324,7.242920312402985,4.9980801468236535,5.408036176881267,6.32650513567666
SAMPLE_10,6.616874398498608,5.13102711619342,3.997656019309199,4.89027254830571,4.964389263809909,3.635258347798435,4.744167928659176,4.257807906002563,5.924357757187434,5.034611874185256,4.71720425085243,4.893818069377423,5.223122018406166,5.61681419968978,4.000287771330619,3.9584123673787284,6.1046792154025304,4.5876631277952695,3.583157907403126,5.443812709383105,5.463369806032687,3.4692847427432936,5.229481715463606,5.7355830924283735,5.374386451706263,5.631981483761395,3.595730901909251,5.331040154996195,4.6973802405295535,4.517209841275355,6.60037500533765
