,cg_00001,cg_00002,cg_00003,cg_00004,cg_00005,cg_00006,cg_00007,cg_00008,cg_00009,cg_00010,cg_00011,cg_00012,cg_00013,cg_00014,cg_00015,cg_00016,cg_00017,cg_00018,cg_00019,cg_00020,cg_context_A
SAMPLE_01,0.4940717353974068,0.42707130636263385,0.45855269341641414,0.5633910377733743,0.5002993291199955,0.5340209976868338,0.567007924220219,0.462515853710239,0.5756248163629806,0.5378842603458395,0.3765186913088521,0.6442304791186244,0.4499255256243084,0.3344904656814816,0.39549562904136976,0.3978954839321678,0.5052173318657533,0.4726149494453763,0.4663168032359407,0.5619701965482479,0.933872943335416
SAMPLE_02,0.5339875361192704,0.5316047870644286,0.5409828457328693,0.5616134668002238,0.2892046658222557,0.4635561747735539,0.2819789935510526,0.5036059926797796,0.49953670277756546,0.604553227478968,0.6187634392721121,0.5202775048252367,0.44996389226031,0.5485161112545738,0.44720823626756867,0.4998607348556651,0.5986136316960767,0.44422286540105765,0.5805678639242501,0.5677401368692302,0.9756902934650477
SAMPLE_03,0.4045208182869178,0.5973894128217401,0.5698566345371505,0.5101925887372657,0.4237676541972348,0.414079398142443,0.44623374230969776,0.554259446329196,0.40443748325986023,0.543751224861987,0.37582444711216073,0.4795931415561151,0.5109647754574008,0.7445130145058917,0.36226843444796325,0.6472014566490133,0.514984241398728,0.5411171918015963,0.5118347913388205,0.5444726818195234,1.0210113354737294
SAMPLE_04,0.4846314895637982,0.6454050181457458,0.45435288557752773,0.6132234572179248,0.4355632879786977,0.4939748153598713,0.39280374477097807,0.545502372034752,0.6445125956926534,0.4922643820179146,0.48031143012960903,0.3885383036932073,0.4770707346447692,0.3407205740278472,0.40871220132811725,0.5226786046109135,0.6319013197741397,0.7809210861229503,0.4413414914929099,0.643530015664544,0.9948801646694452
SAMPLE_05,0.5243752480401648,0.4848752353253624,0.5432594451726153,0.5061916483679959,0.5110395725612219,0.4591666837173331,0.36018903402011493,0.34563747974779185,0.5653244883281227,0.47232999099142864,0.44039111003438336,0.5008505626723153,0.5794932252915628,0.5180363943026398,0.43439450633590326,0.622629295564895,0.6579185502981632,0.5494556655322853,0.5973663511344091,0.6241959996813811,0.9674718189797203
SAMPLE_06,0.6130099316404514,0.5614099177112624,0.5598347047074883,0.5519660573346503,0.39026623254529563,0.5700723156859586,0.36441860288734457,0.4205400544874945,0.6303565067808088,0.5840220162694197,0.6487398289685863,0.4728325616312708,0.3847751158723232,0.4759562802929657,0.5102031297240575,0.5078988716340009,0.6133680478756701,0.46387295749965546,0.5352034471802924,0.4011372850565394,-0.03371062308622545
SAMPLE_07,0.5450317278043812,0.5003108550185636,0.42501866617154826,0.4764170637825147,0.48158242534847784,0.47298448706629037,0.6771341242267683,0.490155399769212,0.4756103889822662,0.2902549042389858,0.41057926480205226,0.47369265755436474,0.43141473238233574,0.6381707593377797,0.4835062224603781,0.6288444249318252,0.5061704634050368,0.5037227836421576,0.4911203552287499,0.500379625162146,-0.03561685322063544
SAMPLE_08,0.6718795003049859,0.26803892732487816,0.2998454255561321,0.4456829168943886,0.5014527881937569,0.5690104424764012,0.5473087198027475,0.46157540871194297,0.6019043693241762,0.603019540315273,0.5184057831271566,0.5962657572486841,0.5272645263432129,0.44385169732171165,0.5697816839000005,0.5110613122578678,0.5001339846754487,0.6472953572189575,0.25491278714599136,0.358231582984043,-0.04397548143294713
SAMPLE_09,0.38129295736256297,0.46367393524311945,0.474539183023397,0.34926743522269527,0.4014841967689174,0.413915832147643,0.7457424092075892,0.6801741947747146,0.4588250582315351,0.46364167096932013,0.38507960028117055,0.3091869586774733,0.4883119813591476,0.4002148016755974,0.49151494683379904,0.33997941509565227,0.4238025541689742,0.5148627095302831,0.5366209597783937,0.5417471958742015,0.1140816438638031
SAMPLE_10,0.3679511015842963,0.5854685730135561,0.419978830339815,0.5632857914607307,0.4989361323381807,0.3623612500922052,0.4683802295418812,0.5365363742063768,0.5612965380474599,0.48590121025555816,0.6531778890601053,0.6007510770986559,0.47433458836002473,0.5750121812136945,0.6933793485188187,0.6960484600783027,0.37720001191775027,0.40734668888428494,0.6484918786733851,0.3941718949162363,0.014875553559277747
